model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	snapshot-agent	agent_external_complete	2026-05-03T22:57:54.879Z	2026-05-03T22:57:54.881Z	49.256	0.002	snapshot-agent log	
qwen3-14b	Qwen/Qwen3-14B	dckpt-qwen3-14b-0503225426	kube/discovery	worker_pod_ready_condition	2026-05-03T22:57:55.573Z	2026-05-03T22:57:56.000Z	49.950	0.427	k8s pod watch	overlaps worker registration; Kubernetes Ready boundary
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0503225936	frontend/main	frontend_pod_to_container	2026-05-03T23:03:19.000Z	2026-05-03T23:03:22.000Z	-2.590	3.000	k8s pod watch	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0503225936	frontend/main	frontend_start_to_discovery	2026-05-03T23:03:22.000Z	2026-05-03T23:03:22.555Z	0.410	0.555	frontend log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0503225936	frontend/main	frontend_discovery_to_metadata_snapshot	2026-05-03T23:03:22.555Z	2026-05-03T23:04:41.863Z	0.965	79.308	frontend log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0503225936	frontend/main	frontend_ready_to_first_request	2026-05-03T23:03:33.000Z	2026-05-03T23:04:51.079Z	11.410	78.079	frontend log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0503225936	frontend/main	frontend_inference_request	2026-05-03T23:04:51.079Z	2026-05-03T23:04:52.130Z	89.489	1.051	frontend log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0503225936	worker/main	restore_pod_to_container	2026-05-03T23:03:19.000Z	2026-05-03T23:03:20.000Z	-2.590	1.000	k8s pod watch	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0503225936	worker/main	restore_complete_to_sentinel	2026-05-03T23:04:38.743Z	2026-05-03T23:04:38.783Z	77.153	0.040	restore-worker log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0503225936	worker/main	worker_wake_up	2026-05-03T23:04:38.783Z	2026-05-03T23:04:40.148Z	77.193	1.365	restore-worker log	
