package_name,version,type,spdx_license
libc6-dev,2.39-0ubuntu8.7,dpkg,GFDL-1.3-only AND GPL-2.0-only AND LGPL-2.1-only
libcap-ng0,0.8.4-2build2,dpkg,GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND LGPL-2.1-only AND LGPL-2.1-or-later
libcap2,1:2.66-5ubuntu2.2,dpkg,BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later
libcap2-bin,1:2.66-5ubuntu2.2,dpkg,BSD-3-Clause AND GPL-2.0-only AND GPL-2.0-or-later
libcares2,1.27.0-1.0ubuntu1,dpkg,LicenseRef-GPL
libcc1-0,14.2.0-4ubuntu2~24.04,dpkg,LicenseRef-Artistic AND GFDL-1.2-only AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-LGPL
libcom-err2,1.47.0-2.4~exp1ubuntu4.1,dpkg,Apache-2.0 AND Apache-2.0 AND BSD-3-Clause AND LicenseRef-GPL AND GPL-2.0-only AND GPL-2.0-or-later AND ISC AND Kazlib AND LGPL-2.0-only AND Latex2e
libcrypt-dev,1:4.4.36-4build1,dpkg,LicenseRef-5a5e7ca0e9f3f9679977e3a3e9ede45ad92885a3297ea78e766979f9866c5a16
libcrypt1,1:4.4.36-4build1,dpkg,LicenseRef-5a5e7ca0e9f3f9679977e3a3e9ede45ad92885a3297ea78e766979f9866c5a16
libcryptsetup12,2:2.7.0-1ubuntu4.2,dpkg,Apache-2.0 AND LicenseRef-CC0 AND CC0-1.0 AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-only AND GPL-3.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LicenseRef-public-domain
libctf-nobfd0,2.42-4ubuntu2.5,dpkg,LicenseRef-GFDL AND LicenseRef-GPL AND LicenseRef-LGPL
libctf0,2.42-4ubuntu2.5,dpkg,LicenseRef-GFDL AND LicenseRef-GPL AND LicenseRef-LGPL
libcublas-12-9,12.9.1.4-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
libcublas-dev-12-9,12.9.1.4-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
libcudnn9-cuda-12,9.10.2.21-1,dpkg,LicenseRef-LICENSE-AGREEMENT-FOR-NVIDIA-SOFTWARE-DEVELOPMENT-KITS
libcudnn9-dev-cuda-12,9.10.2.21-1,dpkg,LicenseRef-LICENSE-AGREEMENT-FOR-NVIDIA-SOFTWARE-DEVELOPMENT-KITS
libcudnn9-headers-cuda-12,9.10.2.21-1,dpkg,LicenseRef-LICENSE-AGREEMENT-FOR-NVIDIA-SOFTWARE-DEVELOPMENT-KITS
libcufft-12-9,11.4.1.4-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
libcufft-dev-12-9,11.4.1.4-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
libcufile-12-9,1.14.1.1-1,dpkg,LicenseRef-914cd25373688c84376dcb553e2054c22a9d57f2a7603ec93c46151dc1b4db9f
libcufile-dev-12-9,1.14.1.1-1,dpkg,LicenseRef-914cd25373688c84376dcb553e2054c22a9d57f2a7603ec93c46151dc1b4db9f
libcurand-12-9,10.3.10.19-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
libcurand-dev-12-9,10.3.10.19-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
libcurl3t64-gnutls,8.5.0-2ubuntu10.8,dpkg,BSD-3-Clause AND BSD-3-Clause AND BSD-4-Clause-UC AND FSFULLR AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-or-later AND ISC AND OLDAP-2.8 AND X11 AND curl
libcurl4t64,8.5.0-2ubuntu10.8,dpkg,BSD-3-Clause AND BSD-3-Clause AND BSD-4-Clause-UC AND FSFULLR AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-3.0-or-later AND ISC AND OLDAP-2.8 AND X11 AND curl
libcusolver-12-9,11.7.5.82-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
libcusolver-dev-12-9,11.7.5.82-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
libcusparse-12-9,12.5.10.65-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
libcusparse-dev-12-9,12.5.10.65-1,dpkg,LicenseRef-NVIDIA-Software-License-Agreement-and-CUDA-Supplement-to-Software-License-Agreement
libczmq4,4.2.1-2build1,dpkg,BSD-3-Clause AND Beerware AND MPL-2.0
libdb5.3t64,5.3.28+dfsg2-7,dpkg,LicenseRef-Artistic AND BSD-3-Clause AND LicenseRef-BSD-3-clause-fjord AND LicenseRef-GPL AND GPL-3.0-only AND LicenseRef-MIT-old AND MS-PL AND Sleepycat AND LicenseRef-TCL-like AND X11 AND Zlib
libdbus-1-3,1.14.10-4ubuntu4.1,dpkg,AFL-2.1 AND BSD-3-Clause AND LicenseRef-BSD-3-clause-generic AND LicenseRef-Expat AND LicenseRef-FSF-unlimited-permission AND GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND LicenseRef-Tcl-BSDish AND LicenseRef-autoconf-archive-permissive AND LicenseRef-g10-permissive
libdebconfclient0,0.271ubuntu3,dpkg,BSD-2-Clause AND BSD-2-Clause AND GPL-2.0-only AND GPL-2.0-or-later
libdevmapper1.02.1,2:1.02.185-3ubuntu3.2,dpkg,BSD-2-Clause AND GPL-2.0-only AND GPL-2.0-only AND GPL-2.0-or-later AND LGPL-2.0-only AND LGPL-2.1-only
libdpkg-perl,1.22.6ubuntu6.1,dpkg,GPL-2.0-only AND GPL-2.0-or-later AND LicenseRef-public-domain-s-s-d
libdrm-amdgpu1,2.4.125-1ubuntu0.1~24.04.1,dpkg,LicenseRef-512c9a57fd8b449aa157351da9df07bf8e19f767e496a72205a4020268ddb2e0
libdrm-common,2.4.125-1ubuntu0.1~24.04.1,dpkg,LicenseRef-512c9a57fd8b449aa157351da9df07bf8e19f767e496a72205a4020268ddb2e0
libdrm2,2.4.125-1ubuntu0.1~24.04.1,dpkg,LicenseRef-512c9a57fd8b449aa157351da9df07bf8e19f767e496a72205a4020268ddb2e0
libduktape207,2.7.0+tests-0ubuntu3,dpkg,LicenseRef-CC0 AND CC0-1.0 AND LicenseRef-expat AND LicenseRef-unicode
