model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	worker/gms-loader	gms_load_phase_b_stream_to_gpu	2026-05-06T17:56:08.018Z	2026-05-06T17:56:11.513Z	0.751	3.495	gms-loader log	167 allocations
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	worker/gms-loader	gms_load_metadata_commit	2026-05-06T17:56:11.513Z	2026-05-06T17:56:11.540Z	4.246	0.027	gms-loader log	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	worker/gms-loader	gms_load_sentinel	2026-05-06T17:56:11.546Z	2026-05-06T17:56:11.553Z	4.279	0.007	gms-loader log	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	worker/main	main_pod_to_container	2026-05-06T17:56:01.000Z	2026-05-06T17:56:04.000Z	-6.267	3.000	restore pod yaml	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	snapshot-agent	restore_agent_to_nsrestore	2026-05-06T17:56:07.267Z	2026-05-06T17:56:07.324Z	0.000	0.058	snapshot-agent	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	snapshot-agent	agent_wait_after_nsrestore_for_gms	2026-05-06T17:56:11.211Z	2026-05-06T17:56:11.553Z	3.944	0.342	snapshot-agent + gms-loader	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	worker/main	main_gms_remap	2026-05-06T17:56:11.620Z	2026-05-06T17:56:11.656Z	4.353	0.036	worker main log	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	worker/main	registration_to_generate_endpoint	2026-05-06T17:56:11.676Z	2026-05-06T17:56:11.988Z	4.409	0.312	worker main log	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	worker/main	generate_endpoint_to_metadata_snapshot	2026-05-06T17:56:11.988Z	2026-05-06T17:56:13.130Z	4.721	1.142	worker main log	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	kube/discovery	pod_ready_to_metadata_snapshot	2026-05-06T17:56:12.000Z	2026-05-06T17:56:13.130Z	4.733	1.130	pod yaml + worker main log	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	frontend/main	frontend_discovers_worker	2026-05-06T17:56:13.130Z	2026-05-06T17:56:13.130Z	5.863	0.000	worker/frontend logs	
qwen3-14b	Qwen/Qwen3-14B	gms-defapi-preload2-q3-14-0506175351	frontend/main	first_inference	2026-05-06T17:56:28.582Z	2026-05-06T17:56:29.271Z	21.315	0.689	frontend log	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	snapshot-agent	criu_restore	2026-05-06T18:00:25.916Z	2026-05-06T18:00:29.434Z	0.071	3.519	snapshot-agent nsrestore timing summary	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	snapshot-agent	cuda_restore	2026-05-06T18:00:29.434Z	2026-05-06T18:00:30.051Z	3.590	0.617	snapshot-agent nsrestore timing summary	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	worker/gms-server	k8s_pod_to_gms_server	2026-05-06T18:00:18.000Z	2026-05-06T18:00:20.000Z	-7.845	2.000	restore pod yaml	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	worker/gms-loader	gms_loader_pod_to_container	2026-05-06T18:00:18.000Z	2026-05-06T18:00:23.000Z	-7.845	5.000	restore pod yaml	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	orchestration/manual-trigger	manual_restore_trigger_patch	2026-05-06T18:00:24.335Z	2026-05-06T18:00:25.997Z	-1.510	1.662	benchmark harness	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	worker/gms-loader	gms_load_wait_for_rw	2026-05-06T18:00:25.851Z	2026-05-06T18:00:25.866Z	0.006	0.015	gms-loader log	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	worker/gms-loader	gms_load_phase_a_allocate_va	2026-05-06T18:00:25.866Z	2026-05-06T18:00:26.800Z	0.021	0.934	gms-loader log	
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	worker/gms-loader	gms_load_phase_b_stream_to_gpu	2026-05-06T18:00:26.800Z	2026-05-06T18:00:34.109Z	0.955	7.309	gms-loader log	263 allocations
qwen3-32b	Qwen/Qwen3-32B	gms-defapi-preload2-q3-32-0506175807	worker/gms-loader	gms_load_metadata_commit	2026-05-06T18:00:34.109Z	2026-05-06T18:00:34.150Z	8.264	0.041	gms-loader log	
