prefill_tp,decode_tp,prefill_workers,decode_workers,overlap_score_weight,completed_requests,output_throughput_tok_s,mean_output_token_throughput_per_user,mean_tpot_ms,mean_ttft_ms,mean_e2e_latency_ms,request_throughput_rps,prefix_cache_reused_ratio,wall_time_ms,router_mode,total_gpus_used,feasible,violation_penalty,objective,score
4,8,1,1,0.5,23608,269.75740424399663,41.244280941512905,30.109431161929145,1065366.4149806583,1070226.149485169,1.4810939161811474,0.5234916528368048,662888.695052,kv_router,12,False,317.85291121942305,throughput,269.75740424399663
4,4,2,2,0.5,23608,303.3152428489796,40.33926225986394,31.23082582216443,5183.703922897373,10158.235683045825,1.6653420955307425,0.536895884994312,999148.060803,kv_router,16,False,0.29592598072434306,throughput,303.3152428489796
2,4,2,2,0.5,23608,297.3402298067485,40.18073377716569,31.576416824753025,337355.4479186144,342376.81256150914,1.6325364882453643,0.5132511524928708,1045673.81153,kv_router,12,False,99.45770260772905,throughput,297.3402298067485
2,8,1,1,0.5,23608,151.31886919997524,56.49147609796524,22.92069279926988,7647590.571512716,7651016.920742301,0.83081114011899,0.5234916528368048,1115119.777449,kv_router,10,False,2292.448488915294,throughput,151.31886919997524
2,1,5,5,0.5,23608,302.9523355342287,18.180511048840607,77.76198715523498,4091.9128949063197,16414.447858629355,1.6633495651773254,0.5383995406250054,1139058.810296,kv_router,15,False,0.05980471912971286,throughput,302.9523355342287
2,2,4,4,0.5,23608,303.1094446802869,34.900761811187735,36.476796637891944,5157.777354975745,10936.741403300024,1.6642121676369515,0.5343502666530876,1413257.23432,kv_router,16,False,0.28944433874393627,throughput,303.1094446802869
1,8,1,1,0.5,23608,81.76317724561841,65.70090387402948,19.856910046528228,20407978.904108744,20410859.533003327,0.44891796288413194,0.5234916528368048,1428504.1945590002,kv_router,9,False,6120.537702677352,throughput,81.76317724561841
1,1,8,8,0.5,23608,302.39953702611774,30.540637947759834,39.72709249241734,5821.553906953632,12416.598437072878,1.6603144436408774,0.5310755267057049,1606201.486896,kv_router,16,False,0.455388476738408,throughput,302.39953702611774
1,2,5,5,0.5,23608,302.32149736218605,40.449067906095266,30.31268978226235,12837.977790578225,17698.8456410134,1.6598859695020713,0.5187283947315209,1608410.775511,kv_router,15,False,2.2094944476445564,throughput,302.32149736218605
1,4,3,3,0.5,23608,227.8235562369462,56.98941601902259,21.351403991895225,2549653.0585314548,2553002.965191674,1.2508575401329465,0.48364225571129654,1619564.1241910001,kv_router,15,False,763.0634128924474,throughput,227.8235562369462
2,1,7,2,0.5,23608,300.18031590344685,2.304588970823115,465.831621596374,4108.806386978314,87386.01949335687,1.6481298850273334,0.5472625309448478,157467.498407,kv_router,16,False,8.607590859364077,throughput,300.18031590344685
2,1,6,4,0.5,23608,302.9793104409497,11.226944587068811,120.9463485736538,3571.104699851073,23524.826888060932,1.663497669991523,0.541603639032691,671811.7103009999,kv_router,16,False,0.7888593253850973,throughput,302.9793104409497
2,1,1,14,0.5,23608,151.2879206786437,38.92475319858159,26.271773111387535,7647557.6307988735,7652249.699817006,0.8306412183079933,0.5234916528368048,1128703.076709,kv_router,16,False,2292.5018926905686,throughput,151.2879206786437
2,1,2,12,0.5,23608,297.2215121243391,36.080356930288886,31.14320399316384,337325.85495450767,342571.7692740162,1.6318846728201217,0.5132511524928708,1370280.14679,kv_router,16,False,99.46005220232773,throughput,297.2215121243391
2,1,3,10,0.5,23608,302.87223787613726,33.73901560628806,34.93395610632911,8043.483296094155,13819.933373540023,1.6629097916910998,0.5305810359278259,1515998.000766,kv_router,16,False,1.010870824023539,throughput,302.87223787613726
2,1,4,8,0.5,23608,302.94355902021726,29.925284300293296,42.26459768023133,5183.352873493633,11959.650144276811,1.663301378023597,0.533391560042914,1623210.059803,kv_router,16,False,0.29583821837340807,throughput,302.94355902021726
