model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	kube/discovery	pod_ready_to_metadata_snapshot	2026-05-03T17:36:17.000Z	2026-05-03T17:36:18.358Z	5.313	1.358	pod yaml + worker main log	
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	frontend/main	frontend_discovers_worker	2026-05-03T17:36:18.358Z	2026-05-03T17:36:18.358Z	6.671	0.000	worker/frontend logs	
qwen3-8b	Qwen/Qwen3-8B	gms-local-ssd-pinned-manu-0503173412	frontend/main	first_inference	2026-05-03T17:36:25.509Z	2026-05-03T17:36:26.176Z	13.822	0.667	frontend log	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	snapshot-agent	criu_restore	2026-05-03T17:39:28.619Z	2026-05-03T17:39:30.911Z	0.149	2.292	snapshot-agent nsrestore timing summary	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	snapshot-agent	cuda_restore	2026-05-03T17:39:30.911Z	2026-05-03T17:39:31.489Z	2.441	0.578	snapshot-agent nsrestore timing summary	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	worker/gms-server	k8s_pod_to_gms_server	2026-05-03T17:39:24.000Z	2026-05-03T17:39:25.000Z	-4.471	1.000	restore pod yaml	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	worker/gms-loader	gms_loader_pod_to_container	2026-05-03T17:39:24.000Z	2026-05-03T17:39:26.000Z	-4.471	2.000	restore pod yaml	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	orchestration/manual-trigger	manual_restore_trigger_patch	2026-05-03T17:39:27.815Z	2026-05-03T17:39:28.578Z	-0.656	0.763	benchmark harness	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	worker/gms-loader	gms_load_wait_for_rw	2026-05-03T17:39:28.502Z	2026-05-03T17:39:28.796Z	0.031	0.294	gms-loader log	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	worker/gms-loader	gms_load_phase_a_allocate_va	2026-05-03T17:39:28.796Z	2026-05-03T17:39:28.895Z	0.325	0.099	gms-loader log	
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	worker/gms-loader	gms_load_phase_b_stream_to_gpu	2026-05-03T17:39:28.895Z	2026-05-03T17:39:29.902Z	0.424	1.007	gms-loader log	167 allocations
qwen3-14b	Qwen/Qwen3-14B	gms-local-ssd-pinned-manu-0503173729	worker/gms-loader	gms_load_metadata_commit	2026-05-03T17:39:29.902Z	2026-05-03T17:39:29.926Z	1.431	0.024	gms-loader log	
