model_key	model_id	run_dir	lane	phase	start_ts	end_ts	start_s	duration_s	source	detail
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	snapshot-agent	agent_detect_to_restore_start	2026-04-30T09:07:06.728Z	2026-04-30T09:07:06.763Z	0.000	0.035	snapshot-agent log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	snapshot-agent	host_inspect	2026-04-30T09:07:06.763Z	2026-04-30T09:07:06.776Z	0.035	0.013	snapshot-agent Restore timing summary	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	snapshot-agent	agent_nsrestore_launch	2026-04-30T09:07:06.776Z	2026-04-30T09:07:06.794Z	0.048	0.018	snapshot-agent log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	snapshot-agent	nsrestore_setup	2026-04-30T09:07:06.794Z	2026-04-30T09:07:06.806Z	0.067	0.012	snapshot-agent nsrestore timing summary	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	snapshot-agent	criu_restore	2026-04-30T09:07:06.806Z	2026-04-30T09:07:16.660Z	0.079	9.854	snapshot-agent nsrestore timing summary	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	snapshot-agent	cuda_restore	2026-04-30T09:07:16.660Z	2026-04-30T09:07:24.719Z	9.933	8.059	snapshot-agent nsrestore timing summary	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	snapshot-agent	agent_external_complete	2026-04-30T09:07:24.720Z	2026-04-30T09:07:24.723Z	17.992	0.003	snapshot-agent log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	worker/main	restore_complete_to_sentinel	2026-04-30T09:07:24.720Z	2026-04-30T09:07:24.768Z	17.992	0.048	worker main log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	worker/main	worker_wake_up	2026-04-30T09:07:24.768Z	2026-04-30T09:07:26.144Z	18.040	1.376	worker main log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	worker/main	worker_after_wake_to_discovery	2026-04-30T09:07:26.144Z	2026-04-30T09:07:26.159Z	19.416	0.015	worker main log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	worker/main	worker_register_model	2026-04-30T09:07:26.195Z	2026-04-30T09:07:26.608Z	19.467	0.413	worker main log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	worker/main	worker_endpoint_to_metadata_snapshot	2026-04-30T09:07:26.608Z	2026-04-30T09:07:27.272Z	19.880	0.664	worker main log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	kube/discovery	pod_ready_to_metadata_snapshot	2026-04-30T09:07:26.000Z	2026-04-30T09:07:27.272Z	19.272	1.272	pod yaml + worker main log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	frontend/main	frontend_pod_to_container	2026-04-30T09:07:04.000Z	2026-04-30T09:07:08.000Z	-2.728	4.000	frontend pod yaml	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	frontend/main	frontend_start_to_discovery	2026-04-30T09:07:08.000Z	2026-04-30T09:07:08.538Z	1.272	0.538	frontend log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	frontend/main	frontend_discovery_to_metadata_snapshot	2026-04-30T09:07:08.538Z	2026-04-30T09:07:27.273Z	1.810	18.735	frontend log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	frontend/main	frontend_ready_to_first_request	2026-04-30T09:07:19.000Z	2026-04-30T09:07:31.198Z	12.272	12.198	frontend log	
qwen3-32b	Qwen/Qwen3-32B	dckpt-qwen3-32b-0430090331	frontend/main	frontend_inference_request	2026-04-30T09:07:31.198Z	2026-04-30T09:07:32.284Z	24.470	1.086	frontend log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	worker/main	restore_pod_to_container	2026-04-30T09:10:45.000Z	2026-04-30T09:10:46.000Z	-1.313	1.000	restore pod yaml	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	snapshot-agent	agent_detect_to_restore_start	2026-04-30T09:10:46.313Z	2026-04-30T09:10:46.346Z	0.000	0.033	snapshot-agent log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	snapshot-agent	host_inspect	2026-04-30T09:10:46.346Z	2026-04-30T09:10:46.359Z	0.033	0.013	snapshot-agent Restore timing summary	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	snapshot-agent	agent_nsrestore_launch	2026-04-30T09:10:46.359Z	2026-04-30T09:10:46.378Z	0.046	0.019	snapshot-agent log	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	snapshot-agent	nsrestore_setup	2026-04-30T09:10:46.378Z	2026-04-30T09:10:46.390Z	0.066	0.012	snapshot-agent nsrestore timing summary	
qwen25-05b	Qwen/Qwen2.5-0.5B-Instruct	dckpt-qwen25-05b-0430090912	snapshot-agent	criu_restore	2026-04-30T09:10:46.390Z	2026-04-30T09:10:48.670Z	0.078	2.280	snapshot-agent nsrestore timing summary	
